;votes;metascore;Action;Drama;Sci-Fi;Advendture;Fantasy;Comedy;History;Horror;Mystery;Thriller;Crime;Animation;Family;Musical;Romance;Sport;Biography;Music;Western;imdb_encoding
119;240209;65;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0
120;215486;48;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;1
121;214275;82;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
122;206976;94;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
123;193695;54;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0
124;193656;52;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0
125;192655;56;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
126;186800;52;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
127;185436;73;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1
128;180393;93;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
129;179879;41;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
130;174951;75;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
131;174357;47;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
132;164360;34;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
133;163498;63;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
134;161419;77;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1
135;158339;29;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
136;154358;75;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1
137;152059;51;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
138;150016;37;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
139;146205;65;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1
140;127696;27;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
141;124839;66;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
142;124621;76;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1
143;124218;75;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1
144;120967;83;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1
145;119404;71;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1
146;118830;34;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
147;116534;78;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1
148;112074;86;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1
149;104721;67;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
150;527257;67;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
151;519811;76;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
152;504922;94;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
153;474162;73;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
154;447628;84;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1
155;424133;69;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
156;417353;81;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
157;400585;86;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
158;386210;88;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1
159;356056;45;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
160;340987;87;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
161;334367;75;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1
162;324208;81;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1
163;289796;58;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
164;254807;65;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;1;0;1
165;253913;62;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
166;251172;44;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
167;244030;39;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
168;240209;65;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0
169;215486;48;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;1
170;214275;82;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
171;206976;94;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
172;193695;54;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0
173;193656;52;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0
174;192655;56;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
175;186800;52;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
176;185436;73;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1
177;180393;93;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
178;179879;41;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
179;174951;75;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
180;174357;47;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
181;164360;34;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
182;163498;63;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
183;161419;77;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1
184;158339;29;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
185;154358;75;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1
186;152059;51;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
187;150016;37;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
188;146205;65;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1
189;127696;27;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
190;124839;66;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
191;124621;76;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1
192;124218;75;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1
193;120967;83;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1
194;119404;71;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1
195;118830;34;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
196;116534;78;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1
197;112074;86;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1
198;104721;67;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
199;103622;58;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0
200;519811;76;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
201;504922;94;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
202;474162;73;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
203;447628;84;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1
204;424133;69;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
205;417353;81;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
206;400585;86;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
207;386210;88;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1
